date_created,date_updated,deleted_by_user,user_id,prolific_pid,study_id,wordle_play_frequency,native_english,primed_emotion,has_enhanced_feedback,presurvey_time,baseballcost,lakedays,postsurvey_time,widgettime,did_start_bonus_rounds,end_arousal,end_valence,session_id_x,minutes,crt1,crt2,crt3,crt,control,anger,empathy,anger_empathy,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,First Language,Nationality,Sex,t_anger,t_empathy
2022-04-06 15:54:33.249128,2022-04-06 16:12:15.858919,0,0546e-c12c-d5e-a3d6-3d78b5c4b23c,6821904084993087774,624d956a30b83f43cc403583,2-10,1,control,0,2022-04-06 15:54:33.248002,0.1,24.0,2022-04-06 16:12:15.858746,100.0,0,41.0,63.0,624db66c758241cf1b0c92f4,17.7,0,0,0,0,1,0,0,0,APPROVED,2022-04-06 15:49:03.966000,2022-04-06 16:12:28.544000,1404.578,32.0,845,5,99,2022-04-06 19:16:22.680000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 15:56:56.158386,2022-04-06 16:08:13.122063,0,1312ab-7d70-546e-68cf-088f2a03670e,-5173458209546470628,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 15:56:56.157273,0.1,47.0,2022-04-06 16:08:13.121922,5.0,0,67.0,63.0,624db61bd2b6025a22e011a1,11.266666666666667,0,1,1,2,0,1,0,0,APPROVED,2022-04-06 15:47:44.109000,2022-04-06 16:08:26.506000,1242.397,66.0,1064,1,100,2022-04-06 19:16:22.597000,42B25E2B,United States,United States,English,United States,Male,1,0
2022-04-06 16:00:30.770739,2022-04-06 16:14:16.464581,0,b1c503b-0e31-61ff-622a-f74b7a6ab507,5628927980033876848,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:00:30.769404,5.0,24.0,2022-04-06 16:14:16.464422,5.0,0,58.0,39.0,624db833653144951cdaa67e,13.75,0,1,0,1,0,0,0,1,APPROVED,2022-04-06 15:56:38.417000,2022-04-06 16:14:29.783000,1071.366,62.0,1323,1,100,2022-04-06 19:16:22.857000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 16:01:05.914771,2022-04-06 16:06:55.033970,0,62f63c-723d-4362-18d0-5bfeca16d65,3783800467916395179,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:01:05.913713,0.1,24.0,2022-04-06 16:06:55.033835,100.0,0,78.0,90.0,624db8d5775d743abd61f6fa,5.816666666666666,0,0,0,0,0,1,0,0,APPROVED,2022-04-06 15:59:19.655000,2022-04-06 16:07:01.315000,461.66,37.0,591,4,99,2022-04-06 19:16:22.990000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:02:55.640083,2022-04-06 16:11:48.654392,0,44b6b70-5e5d-3c4b-0a3f-7cce8621b4,7191634988897322388,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:02:55.638885,0.05,47.0,2022-04-06 16:11:48.654266,5.0,0,36.0,65.0,624db8e2ad7aee2a25c89429,8.883333333333333,1,1,1,3,0,0,0,1,APPROVED,2022-04-06 15:59:33.850000,2022-04-06 16:12:00.026000,746.176,25.0,509,2,100,2022-04-06 19:16:23.113000,42B25E2B,United States,United States,English,United States,Male,1,1
2022-04-06 16:08:05.100516,2022-04-06 16:18:32.738884,0,2452d46-6ca-1af-f8a1-52df4f64a154,5188960678849708378,624d956a30b83f43cc403583,11-100,1,anger,0,2022-04-06 16:08:05.099315,0.1,24.0,2022-04-06 16:17:56.841618,5.0,1,71.0,69.0,624db8671390b28265499d9e,9.85,0,1,0,1,0,1,0,0,APPROVED,2022-04-06 15:57:29.890000,2022-04-06 16:18:26.172000,1256.282,51.0,508,1,100,2022-04-06 19:16:22.930000,42B25E2B,United States,United States,English,United States,Female,1,0
2022-04-06 16:08:37.994533,2022-04-06 16:22:36.434482,0,505885-250c-d061-4bc-e1ae376620,-6156122627347494623,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 16:08:37.993319,0.05,47.0,2022-04-06 16:22:36.434358,5.0,0,75.0,42.0,624dba93699111442787736c,13.966666666666669,1,1,1,3,0,0,1,0,APPROVED,2022-04-06 16:06:45.753000,2022-04-06 16:22:40.693000,954.94,28.0,429,1,100,2022-04-06 19:16:23.588000,42B25E2B,United States,United States,English,United States,Female,0,1
2022-04-06 16:09:04.195662,2022-04-06 16:19:18.328936,0,d74cd41-4877-cd17-dacc-0c26f5514cb,1998634360289212644,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:09:04.194593,0.1,47.0,2022-04-06 16:19:18.328819,5.0,0,23.0,55.0,624db94d41b99e2fd2943cf0,10.233333333333333,0,1,1,2,1,0,0,0,APPROVED,2022-04-06 16:01:46.331000,2022-04-06 16:19:32.756000,1066.425,46.0,847,1,100,2022-04-06 19:16:23.193000,42B25E2B,United States,United States,English,United States,Female,0,0
2022-04-06 16:09:21.817624,2022-04-06 16:18:02.083874,0,c1d06d0-568-3c1-c736-fc0af3313afd,-7165188546977597166,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:09:21.816392,0.05,47.0,2022-04-06 16:18:02.083719,5.0,0,57.0,61.0,624dba66ed998f0d813f9ec8,8.666666666666666,1,1,1,3,0,0,0,1,APPROVED,2022-04-06 16:06:01.132000,2022-04-06 16:18:08.224000,727.092,33.0,1304,2,100,2022-04-06 19:16:23.357000,42B25E2B,United States,United States,English,United States,Male,1,1
2022-04-06 16:09:44.839447,2022-04-06 16:16:22.743821,0,3abf884-10c8-0fe3-b086-30de6be8fee,-875103845442045464,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 16:09:44.838366,0.05,47.0,2022-04-06 16:16:22.743671,5.0,0,81.0,71.0,624dba8fcea88190698171db,6.616666666666666,1,1,1,3,0,0,1,0,APPROVED,2022-04-06 16:06:42.335000,2022-04-06 16:16:32.096000,589.761,34.0,287,1,100,2022-04-06 19:16:23.529000,42B25E2B,United States,United States,English,United States,Male,0,1
2022-04-06 16:10:13.401547,2022-04-06 16:15:16.474214,0,fe54261-8348-0d05-e23-ce5213ddeb,-2051648301012957598,624d956a30b83f43cc403583,11-100,1,anger,1,2022-04-06 16:10:13.400356,0.05,47.0,2022-04-06 16:15:16.474066,5.0,0,59.0,70.0,624dba2fd3a814d7411e8fb0,5.05,1,1,1,3,0,0,0,1,APPROVED,2022-04-06 16:05:07.259000,2022-04-06 16:15:25.696000,618.437,26.0,969,4,100,2022-04-06 19:16:23.302000,42B25E2B,United States,United States,English,United States,Female,1,1
2022-04-06 16:11:11.557227,2022-04-06 16:20:41.801793,0,6be5bc5-03a6-5d4-cdad-e25a83ef1a6,-7640291611609331915,624d956a30b83f43cc403583,11-100,1,control,1,2022-04-06 16:11:11.556166,0.1,47.0,2022-04-06 16:20:28.864107,5.0,1,65.0,67.0,624dbb03e4743b20050361fb,9.283333333333331,0,1,1,2,0,0,1,0,APPROVED,2022-04-06 16:08:37.456000,2022-04-06 16:20:35.492000,718.036,27.0,931,1,100,2022-04-06 19:16:23.735000,42B25E2B,United States,United States,English,United States,Male,0,1
2022-04-06 16:11:28.463301,2022-04-06 16:24:55.286035,0,65ca111-370f-fd36-322-533bdd1fd0d1,9162318600603103030,624d956a30b83f43cc403583,11-100,1,control,0,2022-04-06 16:11:28.462211,0.05,47.0,2022-04-06 16:24:55.285912,5.0,0,38.0,63.0,624dba6e087451962f13e760,13.433333333333334,1,1,1,3,1,0,0,0,APPROVED,2022-04-06 16:06:10.576000,2022-04-06 16:25:03.712000,1133.136,35.0,1424,1,100,2022-04-06 19:16:23.427000,42B25E2B,United States,United States,English,United States,Female,0,0
